id,company,role,location,type,salary,platform,status,dateSaved,lastUpdated,notes
65a123,Google,Software Engineer,Mountain View,Full-time,"$150,000",LinkedIn,Applied,2026-06-01,2026-06-05,"Referral from Jane"
65a124,Meta,Frontend Engineer,Remote,Full-time,,LinkedIn,Ghosted,2026-06-02,2026-06-25,"No response after OA"
65a125,Apple,iOS Developer,Cupertino,Full-time,"$140k",Greenhouse,Interviewing,2026-06-05,2026-06-12,"Passed phone screen"
65a126,Netflix,Senior UI Engineer,Los Gatos,Full-time,,Lever,Rejected,2026-06-06,2026-06-15,"Rejected at final round"
65a127,Amazon,SDE II,Seattle,Full-time,"$160,000",Amazon Jobs,Offer,2026-06-07,2026-06-28,"Negotiating RSUs"
65a128,Microsoft,SWE,Redmond,Full-time,,Workday,Applied,2026-06-10,2026-06-10,"Standard application"
65a129,Stripe,Web Developer,Remote,Full-time,,Greenhouse,Wishlist,2026-06-12,2026-06-12,"Need to update resume"
65a130,Spotify,Frontend Dev,New York,Full-time,,LinkedIn,Applied,2026-06-15,2026-06-15,"Sent cold email to recruiter"
65a131,Airbnb,UX Engineer,San Francisco,Full-time,,Lever,Interviewing,2026-06-18,2026-06-22,"Take-home assignment"
65a132,DoorDash,Software Engineer,Remote,Full-time,,Greenhouse,Applied,2026-06-20,2026-06-20,""
65a133,Uber,Mobile Engineer,San Francisco,Full-time,,Workday,Ghosted,2026-05-15,2026-06-15,""
65a134,Lyft,Frontend Engineer,Remote,Full-time,,Lever,Applied,2026-06-25,2026-06-25,""
65a135,TikTok,Software Engineer,Los Angeles,Full-time,,LinkedIn,Interviewing,2026-06-26,2026-06-30,"First round technical"
65a136,Snap,AR Engineer,Santa Monica,Full-time,,Greenhouse,Wishlist,2026-06-28,2026-06-28,""
65a137,Pinterest,Full Stack Dev,San Francisco,Full-time,,Workday,Applied,2026-06-29,2026-06-29,""
65a138,TCS,System Engineer,Pune,Full-time,,Naukri,Offer,2026-05-10,2026-06-01,"Accepted"
65a139,Infosys,Specialist Programmer,Bangalore,Full-time,,Naukri,Rejected,2026-05-12,2026-05-20,""
65a140,StartupX,Web Intern,Remote,Internship,"Stipend",Internshala,Interviewing,2026-06-20,2026-06-25,"Founder interview"
65a141,TechCorp,React Intern,Remote,Internship,,Internshala,Applied,2026-06-22,2026-06-22,""
65a142,Acme Corp,SDE 1,New York,Full-time,,Indeed,Wishlist,2026-07-01,2026-07-01,"Looks interesting"
